ProductId	VendorId	UPC	Product Description	CasePack	Size	ShipCaseQty	WhseCase Cost	OffInvoice	BillBack	CRV	TransPk	TransCfg	TransUnitCt	TransConfigWt	TransCaseCost	TransCRV	RetailMult	Retail Unit	TransCaseQty	IsActive
808	31	5200020842	Gatorade Fierce Grape	3	8/20 OZ	1	18.58	0.00	5.81	1.20	1	Case	3	30	12.77	1.20	1	4.98	1	0
809	31	5200020844	Gatorade Cool Blue	3	8/20 OZ	1	18.58	0.00	5.81	1.20	1	Case	3	30	12.77	1.20	1	4.98	1	0
1527	31	5200046304	Gatorade 5 Flavor Pallet	660	32 OZ	1	868.45	393.80	0.00	66.00	1	Pallet	660	1549.35	481.80	66.00	1	0.98	1	0
1411	31	0000004630	Gatorade Mixed Pallet 4 Flav	660	32 OZ	1	957.00	0.00	151.25	66.00	1	Pallet	660	1549.35	786.61	66.00	1	1.38	1	0
1425	31	5200010368	Gatorade Retro Pallet	660	32 OZ	1	868.45	329.17	0.00	66.00	1	Pallet	660	1549.35	541.28	66.00	1	0.98	1	0
2507	31	5200013513	Gatorade Fruit Punch	15	28 OZ	1	27.45	0.00	7.92	1.50	1	Case	15	28	19.53	1.50	1	1.48	1	0
2508	31	5200013515	Gatorade Lemon Lime	15	28 OZ	1	27.45	0.00	7.92	1.50	1	Case	15	28	19.53	1.50	1	1.48	1	0
2509	31	5200013519	Gatorade Glacier Freeze	15	28 OZ	1	27.45	0.00	7.92	1.50	1	Case	15	28	19.53	1.50	1	1.48	1	0
2510	31	5200013514	Gatorade Orange	15	28 OZ	1	27.45	0.00	7.92	1.50	1	Case	15	28	19.53	1.50	1	1.48	1	0
2511	31	5200000000	Gatorade PLT 4 Flavor 28oz	750	28 OZ	1	1372.50	0.00	382.50	75.00	1	Pallet	750	1760	963.00	75.00	1	1.58	1	0
2519	31	0000004797	Gatorade 6 FLV Pallet Mods	750	28 OZ	1	1605.00	0.00	818.00	75.00	1	Pallet	750	1760	787.00	75.00	1	1.48	1	0
1935	31	5200033875	Gatorade Fruit Punch	12	32 OZ	1	17.40	0.00	2.75	1.20	1	Case	12	28	10.68	1.20	1	1.18	1	0
1936	31	5200032016	Gatorade Glacier Freeze	12	32 OZ	1	17.40	0.00	2.75	1.20	1	Case	12	28	10.68	1.20	1	1.18	1	0
1943	31	0000000000	Gatorade Open Stock Mix PLT	660	32 OZ	1	957.00	88.55	261.25	66.00	1	Pallet	660	1540	514.80	66.00	1	0.98	1	0
2087	31	5200010246	Gatorade Tropical Cooler	3	8 PK	1	18.58	0.00	5.81	1.20	1	Case	3	30	12.77	1.20	1	4.98	1	0
1933	31	5200033877	Gatorade Lemon Lime	12	32 OZ	1	17.40	0.00	2.75	1.20	1	Case	12	28	14.65	1.20	1	1.48	1	0
1934	31	5200033876	Gatorade Orange	12	32 OZ	1	17.40	0.00	2.75	1.20	1	Case	12	28	10.68	1.20	1	1.18	1	0
2019	31	5200033777	Gatorade Orange	4	128 OZ	1	15.12	0.00	2.56	0.40	1	Case	4	33	12.56	0.00	1	3.98	0.4	0
2033	31	5200020808	Gatorade Galcier Freeze Frost	3	8 PK	1	22.98	0.00	5.95	1.20	1	Case	3	30	17.03	1.20	1	6.98	1	0
2034	31	0000000000	Gatorade Open Stock Mod 8pk	162	8 PK	1	1240.92	0.00	321.30	64.80	1	Module	162	1620	794.81	64.80	1	6.98	1	0
2186	31	5200004861	Gatorade March Maddness Pallet	660	32 OZ	1	957.00	0.00	448.00	66.00	1	Pallet	660	1540	489.86	66.00	1	0.98	1	0
1979	31	5200033775	Gatorade Fruit Punch	4	128 OZ	1	15.12	0.00	2.56	0.40	1	Case	4	33	12.56	0.40	1	3.98	1	0
1980	31	5200033776	Gatorade Lemon Lime	4	128 OZ	1	15.12	0.00	2.56	0.40	1	Case	1	33	2.56	0.40	1	3.98	1	0
1981	31	5200033777	Gatorade Orange	4	128 OZ	1	15.12	0.00	2.56	0.40	1	Case	4	33	12.546	0.40	1	3.98	1	0
2559	31	5200004915	Gatorade 8 pack 6 Flavor	162	20 OZ	1	1338.12	298.08	212.22	64.80	1	Pallet	162	1800	814.44	64.80	1	6.98	1	0
2059	31	5200032555	Gatorade Cool Blue Raspberry	12	32 OZ	1	15.79	0.00	6.55	1.20	1	Case	12	28	9.24	1.20	1	0.98	1	0
2416	31	1530001498	MUC Cups Bold Cheese Mac&Ches	12	5.90 OZ	1	14.04	4.68	0.00	0.00	1	Case	12	3	9.36	0.00	1	0.98	0	0
2417	31	1530001499	MUC Box Cheesy Jal.	12	5.70 OZ	11	18.72	7.44	0.00	0.00	1	Case	12	8	11.28	0.00	1	0.98	1	0
2418	31	1530020023	MUC Flamin Hot Box	12	5.60 OZ	1	18.72	9.72	0.00	0.00	1	Case	12	8	9.00	0.00	1	0.98	1	0
2485	31	3000001498	MUC Bold Cheese	12	5.90 OZ	1	18.72	7.44	0.00	0.00	1	Case	12	8	11.28	0.00	1	1.28	1	0
1634	31	3000031296	Quaker Chewy Granola Bars Ship	96	8 CT	1	298.56	106.56	0.00	0.00	1	Shipper	96	70	192.00	0.00	1	2.98	1	0
1635	31	0000056637	Quaker Chewy Single Serve	60	1 CT	1	27.54	0.00	13.90	0.00	1	Shipper	60	20	11.25	0.00	4	0.25	1	0
